	BREd	BREu	DRE	Inr_6mer	Pause_button	TATA_8mer	TCT	XCPE1	XCPE2	DCE_I_II_III	DPE
ENSG00000269308.1|FTMT20400000053.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187634.6|HBMT00000000311.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188976.6|ENST00000327044.6	0	1	0	0	0	0	0	0	0	0	0
ENSG00000187961.9|FTMT20300104715.1	0	0	0	1	0	0	0	0	0	0	1
ENSG00000187583.6|ENST00000379409.2	0	0	0	1	0	0	0	0	0	0	0
ENSG00000187642.5|ENST00000341290.2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188290.6|ENST00000481869.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187608.5|ENST00000379389.4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188157.9|HBMT00000000375.1	0	0	0	1	0	0	0	0	0	0	0
CATG00000042982.1|ENCT00000020405.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237330.2|ENST00000453464.2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131591.13|ENST00000477196.1	0	0	0	1	0	0	0	0	0	0	0
CATG00000043113.1|FTMT20200000077.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162571.9|ENST00000379288.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186891.9|ENCT00000020453.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000019495.1|ENCT00000000232.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000186827.6|ENST00000379236.3	1	0	0	0	0	0	0	0	0	0	0
ENSG00000078808.12|ENST00000360001.6	0	0	0	0	0	0	0	0	0	0	0
CATG00000024166.1|HBMT00000000461.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176022.3|ENST00000379198.2	0	1	0	0	0	0	0	0	0	0	0
ENSG00000184163.3|ENST00000330388.2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160087.16|ENST00000400930.4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162572.15|MICT00000000626.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131584.14|ENST00000354700.5	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972.7|MICT00000000677.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000127054.14|ENST00000435064.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224051.2|ENCT00000000269.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169962.4|ENST00000339381.5	0	0	0	1	0	0	0	0	0	0	0
ENSG00000107404.13|HBMT00000050063.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000033020.1|ENCT00000000276.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000162576.12|ENST00000445648.2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175756.9|ENST00000378853.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221978.7|ENST00000496007.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224870.3|ENST00000576232.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242485.1|ENST00000482352.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235098.4|ENST00000537107.1	1	0	0	0	1	0	0	0	0	0	0
ENSG00000205116.3|FTMT20300088738.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000179403.10|ENST00000404702.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215915.5|ENST00000484537.2	0	0	0	1	0	0	0	0	0	0	0
ENSG00000160072.15|ENST00000308647.7	1	0	0	1	0	0	0	0	0	0	0
ENSG00000197785.9|ENST00000378756.3	1	0	0	1	0	0	0	0	0	0	0
CATG00000043384.1|FTMT20200000111.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205090.4|ENST00000378733.4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160075.10|ENST00000359060.4	0	1	0	0	0	0	0	0	0	0	0
ENSG00000215014.3|ENST00000366221.2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228594.1|ENST00000422725.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000043521.1|ENCT00000020621.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197530.8|HBMT00000000732.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189409.8|ENST00000378675.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248333.3|MICT00000000928.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189339.7|ENST00000234800.6	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008128.18|ENST00000378635.3	0	0	0	1	0	0	0	0	0	0	0
ENSG00000215790.2|ENST00000400924.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008130.11|ENCT00000020714.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000078369.13|ENST00000378609.4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169885.5|FTMT20300025619.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178821.8|ENCT00000020765.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142609.13|FTMT20100106553.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000071025.1|MICT00000001049.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187730.6|ENCT00000000391.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000043697.1|ENCT00000020786.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000067606.11|ENST00000378567.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162585.12|ENST00000414253.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269554.1|ENST00000597060.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000203301.2|ENST00000545087.1	0	0	0	0	0	0	0	0	0	0	1
ENSG00000157933.9|ENST00000378536.4	0	0	0	1	0	0	0	0	0	0	1
CATG00000081398.1|ENCT00000000446.1	1	0	0	0	0	0	0	0	0	0	0
CATG00000043785.1|ENCT00000020819.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116151.9|ENCT00000020833.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157916.14|ENST00000306256.9	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157911.5|ENST00000507596.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000149527.13|MICT00000001264.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000157881.9|ENST00000435556.3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197921.5|ENST00000378453.3	0	0	0	1	0	0	0	0	0	0	0
ENSG00000157873.13|ENST00000355716.4	0	0	0	1	0	0	0	0	0	0	0
CATG00000043952.1|MICT00000001381.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157870.10|ENST00000378427.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142606.11|ENST00000491941.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000096867.1|HBMT00000001377.1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000215912.7|MICT00000001402.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000103624.1|MICT00000001444.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169717.5|ENST00000378404.2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142611.12|ENST00000270722.5	0	0	0	0	0	0	0	0	0	0	0
CATG00000044060.1|MICT00000001550.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000044079.1|MICT00000001557.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000044101.1|ENCT00000020891.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130762.10|MICT00000001597.1	0	0	0	1	0	0	0	0	0	0	0
CATG00000044153.1|MICT00000001598.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162591.11|FTMT20100087754.1	0	0	0	0	0	0	0	0	0	0	0
CATG00000112458.1|MICT00000001637.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158109.10|ENCT00000000579.1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116213.11|FTMT20100012054.1	0	0	0	0	0	0	0	1	0	0	0
ENSG00000078900.10|ENST00000378295.4	0	1	0	0	0	0	0	0	0	0	0
ENSG00000162592.4|ENST00000462521.2	0	0	0	0	0	0	0	0	0	0	0
